ABG.P	3.23	300000000
ABE	15.18	200000000
ANA	53.8	100000000
ACS	28.83	50000000
AMS	26.78	75000000
MTS	10.06	32000000
POP	4.91	150000000
SAB	2.30	2500000
BKIA	1.41	25000000
BKT	6.74	4500000000
BBVA	9.10	1300000000
BME	29.9	2800000000
CABK	4.78	1440000000
DIA	4.91	345000000
ENG	25.11	630000000
FCC	15.25	780000000
FER	15.85	920000000
GAM	7.46	830000000
GAS	21.87	1400000000
GRF	31.45	660000000
IAG	4.79	490000000
IBE	5.42	325000000
ITX	21.15	225000000
IDR	9.78	338000000
JAZ	12.73	369800000
MAP	2.22	475000000
TL5	9.75	635000000
OHL	22.71	580000000
REE	67.47	625000000
REP	17.45	460000000
SCYR	3.04	840000000
SAN	6.97	175900000
TRE	38.84	369850000
TEF	11.15	445200000
VIS	44.52	361255000
